Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000001931conf3,-6.5,16.139,13.257
6w4hpdbqt_ZINC000000001931conf3,-6.4,16.05,13.217
6w4hpdbqt_ZINC000000001931conf3,-6.4,2.097,1.268
6w4hpdbqt_ZINC000000001931conf3,-6.3,5.538,3.145
6w4hpdbqt_ZINC000000001931conf3,-6.3,14.346,13.15
6w4hpdbqt_ZINC000000001931conf3,-6.3,14.488,13.239
6w4hpdbqt_ZINC000000001931conf3,-6.1,30.491,27.522
6w4hpdbqt_ZINC000000001931conf4,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000001931conf4,-7.0,14.79,12.555
6w4hpdbqt_ZINC000000001931conf4,-6.9,15.176,12.639
6w4hpdbqt_ZINC000000001931conf4,-6.8,14.669,11.799
6w4hpdbqt_ZINC000000001931conf4,-6.7,15.176,12.219
6w4hpdbqt_ZINC000000001931conf4,-6.7,5.751,3.103
6w4hpdbqt_ZINC000000001931conf4,-6.6,14.413,12.615
6w4hpdbqt_ZINC000000001931conf4,-6.5,16.658,13.881
6w4hpdbqt_ZINC000000001931conf4,-6.5,14.195,13.085
6w4hpdbqt_ZINC000000001931conf5,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf5,-6.6,2.31,1.464
6w4hpdbqt_ZINC000000001931conf5,-6.5,4.577,1.475
6w4hpdbqt_ZINC000000001931conf5,-6.4,5.702,3.348
6w4hpdbqt_ZINC000000001931conf5,-6.2,6.818,3.259
6w4hpdbqt_ZINC000000001931conf5,-6.1,6.085,2.318
6w4hpdbqt_ZINC000000001931conf5,-6.1,16.387,14.409
6w4hpdbqt_ZINC000000001931conf5,-6.1,13.496,10.569
6w4hpdbqt_ZINC000000001931conf5,-6.1,30.449,27.468
6w4hpdbqt_ZINC000000001931conf6,-6.9,0.0,0.0
6w4hpdbqt_ZINC000000001931conf6,-6.8,15.774,13.303
6w4hpdbqt_ZINC000000001931conf6,-6.7,14.732,13.168
6w4hpdbqt_ZINC000000001931conf6,-6.6,2.37,1.412
6w4hpdbqt_ZINC000000001931conf6,-6.4,5.816,3.368
6w4hpdbqt_ZINC000000001931conf6,-6.4,4.675,1.571
6w4hpdbqt_ZINC000000001931conf6,-6.2,7.102,3.494
6w4hpdbqt_ZINC000000001931conf6,-6.1,16.187,14.07
6w4hpdbqt_ZINC000000001931conf6,-6.1,4.829,2.257
6w4hpdbqt_ZINC000000002279conf1,-7.4,0.0,0.0
6w4hpdbqt_ZINC000000002279conf1,-7.4,2.542,1.925
6w4hpdbqt_ZINC000000002279conf1,-7.1,2.127,1.591
6w4hpdbqt_ZINC000000002279conf1,-7.0,37.43,36.052
6w4hpdbqt_ZINC000000002279conf1,-7.0,2.409,1.843
6w4hpdbqt_ZINC000000002279conf1,-6.9,32.206,30.216
6w4hpdbqt_ZINC000000002279conf1,-6.9,32.964,31.292
6w4hpdbqt_ZINC000000002279conf1,-6.8,15.569,13.554
6w4hpdbqt_ZINC000000002279conf1,-6.7,5.877,2.48
6w4hpdbqt_ZINC000000002279conf10,-7.3,0.0,0.0
6w4hpdbqt_ZINC000000002279conf10,-7.3,2.45,1.983
6w4hpdbqt_ZINC000000002279conf10,-7.3,2.358,1.781
6w4hpdbqt_ZINC000000002279conf10,-7.0,37.612,36.33
6w4hpdbqt_ZINC000000002279conf10,-6.9,32.391,30.364
6w4hpdbqt_ZINC000000002279conf10,-6.8,15.06,13.501
6w4hpdbqt_ZINC000000002279conf10,-6.7,2.487,1.952
6w4hpdbqt_ZINC000000002279conf10,-6.7,33.242,31.495
6w4hpdbqt_ZINC000000002279conf10,-6.6,5.998,2.555
6w4hpdbqt_ZINC000000002279conf2,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000002279conf2,-7.5,12.696,11.722
6w4hpdbqt_ZINC000000002279conf2,-7.3,13.536,11.894
6w4hpdbqt_ZINC000000002279conf2,-7.1,40.863,38.872
6w4hpdbqt_ZINC000000002279conf2,-7.0,14.796,14.035
6w4hpdbqt_ZINC000000002279conf2,-6.9,15.565,14.043
6w4hpdbqt_ZINC000000002279conf2,-6.9,13.629,12.404
6w4hpdbqt_ZINC000000002279conf2,-6.9,41.386,39.303
6w4hpdbqt_ZINC000000002279conf2,-6.9,30.792,29.644
6w4hpdbqt_ZINC000000002279conf3,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000002279conf3,-8.0,12.623,10.787
6w4hpdbqt_ZINC000000002279conf3,-7.3,16.482,13.776
6w4hpdbqt_ZINC000000002279conf3,-7.2,17.151,14.185
6w4hpdbqt_ZINC000000002279conf3,-7.1,6.531,3.962
6w4hpdbqt_ZINC000000002279conf3,-7.1,28.326,26.076
6w4hpdbqt_ZINC000000002279conf3,-7.0,16.117,14.401
6w4hpdbqt_ZINC000000002279conf3,-7.0,34.041,32.697
6w4hpdbqt_ZINC000000002279conf3,-7.0,18.254,15.389
6w4hpdbqt_ZINC000000002279conf4,-7.6,0.0,0.0
6w4hpdbqt_ZINC000000002279conf4,-7.3,2.688,2.063
6w4hpdbqt_ZINC000000002279conf4,-7.2,3.486,2.416
6w4hpdbqt_ZINC000000002279conf4,-7.1,32.466,30.525
6w4hpdbqt_ZINC000000002279conf4,-7.0,32.912,31.266
6w4hpdbqt_ZINC000000002279conf4,-6.9,6.042,2.768
6w4hpdbqt_ZINC000000002279conf4,-6.9,15.447,13.456
6w4hpdbqt_ZINC000000002279conf4,-6.9,3.099,2.251
6w4hpdbqt_ZINC000000002279conf4,-6.8,14.944,13.46
6w4hpdbqt_ZINC000000002279conf5,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf5,-7.7,12.865,11.377
6w4hpdbqt_ZINC000000002279conf5,-7.3,32.29,29.307
6w4hpdbqt_ZINC000000002279conf5,-7.0,31.423,29.343
6w4hpdbqt_ZINC000000002279conf5,-7.0,6.453,3.361
6w4hpdbqt_ZINC000000002279conf5,-6.8,2.625,1.953
6w4hpdbqt_ZINC000000002279conf5,-6.7,2.624,1.902
6w4hpdbqt_ZINC000000002279conf5,-6.7,32.425,30.385
6w4hpdbqt_ZINC000000002279conf5,-6.7,3.726,2.611
6w4hpdbqt_ZINC000000002279conf6,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf6,-7.7,13.018,11.48
6w4hpdbqt_ZINC000000002279conf6,-7.6,13.571,11.514
6w4hpdbqt_ZINC000000002279conf6,-7.4,13.82,12.103
6w4hpdbqt_ZINC000000002279conf6,-7.3,32.212,29.385
6w4hpdbqt_ZINC000000002279conf6,-7.2,22.303,18.323
6w4hpdbqt_ZINC000000002279conf6,-7.1,31.345,29.281
6w4hpdbqt_ZINC000000002279conf6,-7.0,6.376,3.234
6w4hpdbqt_ZINC000000002279conf6,-6.8,38.525,37.198
6w4hpdbqt_ZINC000000002279conf7,-7.7,0.0,0.0
6w4hpdbqt_ZINC000000002279conf7,-7.7,2.97,2.038
6w4hpdbqt_ZINC000000002279conf7,-7.4,6.569,2.216
6w4hpdbqt_ZINC000000002279conf7,-7.4,12.902,11.435
6w4hpdbqt_ZINC000000002279conf7,-7.2,41.451,39.604
6w4hpdbqt_ZINC000000002279conf7,-6.9,14.131,12.879
6w4hpdbqt_ZINC000000002279conf7,-6.8,13.903,12.589
6w4hpdbqt_ZINC000000002279conf7,-6.8,37.881,36.167
6w4hpdbqt_ZINC000000002279conf7,-6.7,29.464,26.88
6w4hpdbqt_ZINC000000002279conf8,-8.0,0.0,0.0
6w4hpdbqt_ZINC000000002279conf8,-7.4,32.203,29.346
6w4hpdbqt_ZINC000000002279conf8,-7.2,22.228,18.261
6w4hpdbqt_ZINC000000002279conf8,-7.0,6.399,3.364
6w4hpdbqt_ZINC000000002279conf8,-6.9,3.117,2.245
6w4hpdbqt_ZINC000000002279conf8,-6.8,6.66,3.049
6w4hpdbqt_ZINC000000002279conf8,-6.7,3.204,2.541
6w4hpdbqt_ZINC000000002279conf8,-6.7,37.007,35.464
6w4hpdbqt_ZINC000000002279conf8,-6.6,16.224,14.342
6w4hpdbqt_ZINC000000002279conf9,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000002279conf9,-7.4,16.153,13.604
6w4hpdbqt_ZINC000000002279conf9,-7.3,16.849,13.954
6w4hpdbqt_ZINC000000002279conf9,-7.2,16.195,13.255
6w4hpdbqt_ZINC000000002279conf9,-7.2,15.949,13.147
6w4hpdbqt_ZINC000000002279conf9,-7.1,32.898,31.275
6w4hpdbqt_ZINC000000002279conf9,-6.9,6.812,3.899
6w4hpdbqt_ZINC000000002279conf9,-6.9,18.158,15.226
6w4hpdbqt_ZINC000000002279conf9,-6.9,6.829,4.942
6w4hpdbqt_ZINC000000003642conf1,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf1,-6.9,17.639,15.822
6w4hpdbqt_ZINC000000003642conf1,-6.7,6.116,3.081
6w4hpdbqt_ZINC000000003642conf1,-6.6,7.173,3.577
6w4hpdbqt_ZINC000000003642conf1,-6.5,11.428,8.663
6w4hpdbqt_ZINC000000003642conf1,-6.5,32.875,30.448
6w4hpdbqt_ZINC000000003642conf1,-6.4,37.456,35.89
6w4hpdbqt_ZINC000000003642conf1,-6.3,20.638,17.576
6w4hpdbqt_ZINC000000003642conf1,-6.3,10.872,8.474
6w4hpdbqt_ZINC000000003642conf10,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf10,-7.9,1.016,0.78
6w4hpdbqt_ZINC000000003642conf10,-6.9,6.173,2.969
6w4hpdbqt_ZINC000000003642conf10,-6.8,2.304,1.761
6w4hpdbqt_ZINC000000003642conf10,-6.7,38.899,37.408
6w4hpdbqt_ZINC000000003642conf10,-6.6,3.655,1.979
6w4hpdbqt_ZINC000000003642conf10,-6.6,2.546,1.885
6w4hpdbqt_ZINC000000003642conf10,-6.5,11.414,8.829
6w4hpdbqt_ZINC000000003642conf10,-6.4,32.887,30.454
6w4hpdbqt_ZINC000000003642conf11,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf11,-6.6,11.434,8.675
6w4hpdbqt_ZINC000000003642conf11,-6.6,3.513,1.738
6w4hpdbqt_ZINC000000003642conf11,-6.6,2.526,1.855
6w4hpdbqt_ZINC000000003642conf11,-6.5,10.871,8.385
6w4hpdbqt_ZINC000000003642conf11,-6.4,32.827,30.435
6w4hpdbqt_ZINC000000003642conf11,-6.4,37.459,35.881
6w4hpdbqt_ZINC000000003642conf11,-6.3,38.008,36.352
6w4hpdbqt_ZINC000000003642conf11,-6.3,6.186,3.142
6w4hpdbqt_ZINC000000003642conf12,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf12,-6.8,2.187,1.702
6w4hpdbqt_ZINC000000003642conf12,-6.7,6.13,2.971
6w4hpdbqt_ZINC000000003642conf12,-6.6,11.418,8.658
6w4hpdbqt_ZINC000000003642conf12,-6.6,3.638,1.799
6w4hpdbqt_ZINC000000003642conf12,-6.5,10.77,8.321
6w4hpdbqt_ZINC000000003642conf12,-6.4,32.937,30.486
6w4hpdbqt_ZINC000000003642conf12,-6.3,6.133,3.149
6w4hpdbqt_ZINC000000003642conf12,-6.3,17.535,15.779
6w4hpdbqt_ZINC000000003642conf2,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf2,-7.9,1.931,1.347
6w4hpdbqt_ZINC000000003642conf2,-6.9,3.55,1.881
6w4hpdbqt_ZINC000000003642conf2,-6.8,6.097,2.949
6w4hpdbqt_ZINC000000003642conf2,-6.8,3.936,2.07
6w4hpdbqt_ZINC000000003642conf2,-6.6,11.614,8.829
6w4hpdbqt_ZINC000000003642conf2,-6.4,32.912,30.459
6w4hpdbqt_ZINC000000003642conf2,-6.4,21.118,18.123
6w4hpdbqt_ZINC000000003642conf2,-6.4,37.459,35.914
6w4hpdbqt_ZINC000000003642conf3,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf3,-6.9,17.298,15.394
6w4hpdbqt_ZINC000000003642conf3,-6.8,6.151,2.974
6w4hpdbqt_ZINC000000003642conf3,-6.7,6.12,3.078
6w4hpdbqt_ZINC000000003642conf3,-6.6,3.631,1.755
6w4hpdbqt_ZINC000000003642conf3,-6.5,6.97,3.432
6w4hpdbqt_ZINC000000003642conf3,-6.5,11.447,8.689
6w4hpdbqt_ZINC000000003642conf3,-6.4,6.205,3.174
6w4hpdbqt_ZINC000000003642conf3,-6.4,8.694,5.882
6w4hpdbqt_ZINC000000003642conf4,-8.2,0.0,0.0
6w4hpdbqt_ZINC000000003642conf4,-8.0,1.938,1.345
6w4hpdbqt_ZINC000000003642conf4,-6.8,3.55,1.87
6w4hpdbqt_ZINC000000003642conf4,-6.7,6.098,2.948
