Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6w4hpdbqt_ZINC000000537928conf5,-8.5,0.0,0.0
6w4hpdbqt_ZINC000000537928conf6,-8.5,0.0,0.0
6w4hpdbqt_ZINC000000537928conf7,-8.6,0.0,0.0
6w4hpdbqt_ZINC000000537928conf8,-8.5,0.0,0.0
6w4hpdbqt_ZINC000000537928conf9,-8.5,0.0,0.0
6w4hpdbqt_ZINC000000538312conf1,-9.0,0.0,0.0
6w4hpdbqt_ZINC000000538312conf2,-8.9,0.0,0.0
6w4hpdbqt_ZINC000000538312conf3,-9.0,0.0,0.0
6w4hpdbqt_ZINC000000538312conf4,-8.9,0.0,0.0
6w4hpdbqt_ZINC000000538312conf5,-9.1,0.0,0.0
6w4hpdbqt_ZINC000000538312conf6,-9.2,0.0,0.0
6w4hpdbqt_ZINC000000538312conf7,-9.1,0.0,0.0
6w4hpdbqt_ZINC000000538312conf8,-9.2,0.0,0.0
6w4hpdbqt_ZINC000000538550conf1,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf10,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf11,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf12,-8.6,0.0,0.0
6w4hpdbqt_ZINC000000538550conf13,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf14,-9.1,0.0,0.0
6w4hpdbqt_ZINC000000538550conf15,-8.6,0.0,0.0
6w4hpdbqt_ZINC000000538550conf16,-8.6,0.0,0.0
6w4hpdbqt_ZINC000000538550conf2,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf3,-8.4,0.0,0.0
6w4hpdbqt_ZINC000000538550conf4,-8.4,0.0,0.0
6w4hpdbqt_ZINC000000538550conf5,-8.5,0.0,0.0
6w4hpdbqt_ZINC000000538550conf6,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf7,-8.7,0.0,0.0
6w4hpdbqt_ZINC000000538550conf8,-8.4,0.0,0.0
6w4hpdbqt_ZINC000000538550conf9,-8.6,0.0,0.0
6w4hpdbqt_ZINC000000901555conf1,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf2,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf3,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf4,-3.6,0.0,0.0
6w4hpdbqt_ZINC000000901555conf5,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf6,-3.6,0.0,0.0
6w4hpdbqt_ZINC000000901555conf7,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf8,-3.5,0.0,0.0
6w4hpdbqt_ZINC000000901555conf9,-3.5,0.0,0.0
6w4hpdbqt_ZINC000001481815conf1,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001481815conf2,-9.5,0.0,0.0
6w4hpdbqt_ZINC000001481815conf3,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001481815conf4,-9.5,0.0,0.0
6w4hpdbqt_ZINC000001530601conf1,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001530601conf10,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001530601conf11,-7.7,0.0,0.0
6w4hpdbqt_ZINC000001530601conf12,-7.6,0.0,0.0
6w4hpdbqt_ZINC000001530601conf2,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001530601conf3,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001530601conf4,-7.6,0.0,0.0
6w4hpdbqt_ZINC000001530601conf5,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001530601conf6,-7.6,0.0,0.0
6w4hpdbqt_ZINC000001530601conf7,-7.4,0.0,0.0
6w4hpdbqt_ZINC000001530601conf8,-7.7,0.0,0.0
6w4hpdbqt_ZINC000001530601conf9,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001530617conf1,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001530617conf2,-6.1,0.0,0.0
6w4hpdbqt_ZINC000001530617conf3,-6.7,0.0,0.0
6w4hpdbqt_ZINC000001530617conf4,-6.2,0.0,0.0
6w4hpdbqt_ZINC000001530617conf5,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001530617conf6,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001530617conf7,-6.5,0.0,0.0
6w4hpdbqt_ZINC000001530617conf8,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001530617conf9,-6.7,0.0,0.0
6w4hpdbqt_ZINC000001530788conf1,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001530788conf10,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001530788conf2,-8.0,0.0,0.0
6w4hpdbqt_ZINC000001530788conf3,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001530788conf4,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001530788conf5,-7.7,0.0,0.0
6w4hpdbqt_ZINC000001530788conf6,-8.1,0.0,0.0
6w4hpdbqt_ZINC000001530788conf7,-8.2,0.0,0.0
6w4hpdbqt_ZINC000001530788conf8,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001530788conf9,-8.8,0.0,0.0
6w4hpdbqt_ZINC000001542392conf1,-6.9,0.0,0.0
6w4hpdbqt_ZINC000001542392conf10,-7.7,0.0,0.0
6w4hpdbqt_ZINC000001542392conf11,-8.0,0.0,0.0
6w4hpdbqt_ZINC000001542392conf12,-8.0,0.0,0.0
6w4hpdbqt_ZINC000001542392conf2,-8.0,0.0,0.0
6w4hpdbqt_ZINC000001542392conf3,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001542392conf4,-8.3,0.0,0.0
6w4hpdbqt_ZINC000001542392conf5,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001542392conf6,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001542392conf7,-8.1,0.0,0.0
6w4hpdbqt_ZINC000001542392conf8,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001542392conf9,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001548097conf1,-8.9,0.0,0.0
6w4hpdbqt_ZINC000001548097conf10,-8.4,0.0,0.0
6w4hpdbqt_ZINC000001548097conf11,-7.7,0.0,0.0
6w4hpdbqt_ZINC000001548097conf12,-8.3,0.0,0.0
6w4hpdbqt_ZINC000001548097conf13,-8.4,0.0,0.0
6w4hpdbqt_ZINC000001548097conf14,-8.6,0.0,0.0
6w4hpdbqt_ZINC000001548097conf15,-8.3,0.0,0.0
6w4hpdbqt_ZINC000001548097conf16,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001548097conf2,-8.9,0.0,0.0
6w4hpdbqt_ZINC000001548097conf3,-7.6,0.0,0.0
6w4hpdbqt_ZINC000001548097conf4,-8.7,0.0,0.0
6w4hpdbqt_ZINC000001548097conf5,-9.1,0.0,0.0
6w4hpdbqt_ZINC000001548097conf6,-9.0,0.0,0.0
6w4hpdbqt_ZINC000001548097conf7,-8.7,0.0,0.0
6w4hpdbqt_ZINC000001548097conf8,-8.7,0.0,0.0
6w4hpdbqt_ZINC000001548097conf9,-8.9,0.0,0.0
6w4hpdbqt_ZINC000001554274conf1,-7.9,0.0,0.0
6w4hpdbqt_ZINC000001554274conf2,-9.3,0.0,0.0
6w4hpdbqt_ZINC000001554274conf3,-9.2,0.0,0.0
6w4hpdbqt_ZINC000001554274conf4,-9.3,0.0,0.0
6w4hpdbqt_ZINC000001554274conf5,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001571009conf1,-7.4,0.0,0.0
6w4hpdbqt_ZINC000001571009conf10,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001571009conf11,-7.8,0.0,0.0
6w4hpdbqt_ZINC000001571009conf2,-6.7,0.0,0.0
6w4hpdbqt_ZINC000001571009conf3,-6.4,0.0,0.0
6w4hpdbqt_ZINC000001571009conf4,-6.6,0.0,0.0
6w4hpdbqt_ZINC000001571009conf5,-6.3,0.0,0.0
6w4hpdbqt_ZINC000001571009conf6,-6.2,0.0,0.0
6w4hpdbqt_ZINC000001571009conf7,-6.3,0.0,0.0
6w4hpdbqt_ZINC000001571009conf8,-6.5,0.0,0.0
6w4hpdbqt_ZINC000001571009conf9,-6.3,0.0,0.0
6w4hpdbqt_ZINC000001846431conf1,-5.6,0.0,0.0
6w4hpdbqt_ZINC000001846431conf10,-5.6,0.0,0.0
6w4hpdbqt_ZINC000001846431conf11,-5.7,0.0,0.0
6w4hpdbqt_ZINC000001846431conf12,-5.5,0.0,0.0
6w4hpdbqt_ZINC000001846431conf13,-5.2,0.0,0.0
6w4hpdbqt_ZINC000001846431conf14,-5.7,0.0,0.0
6w4hpdbqt_ZINC000001846431conf15,-4.9,0.0,0.0
6w4hpdbqt_ZINC000001846431conf2,-5.7,0.0,0.0
6w4hpdbqt_ZINC000001846431conf3,-5.6,0.0,0.0
6w4hpdbqt_ZINC000001846431conf4,-5.6,0.0,0.0
6w4hpdbqt_ZINC000001846431conf5,-5.8,0.0,0.0
6w4hpdbqt_ZINC000001846431conf6,-5.5,0.0,0.0
6w4hpdbqt_ZINC000001846431conf7,-5.5,0.0,0.0
6w4hpdbqt_ZINC000001846431conf8,-5.9,0.0,0.0
6w4hpdbqt_ZINC000001846431conf9,-5.6,0.0,0.0
6w4hpdbqt_ZINC000002008310conf1,-7.5,0.0,0.0
6w4hpdbqt_ZINC000002008310conf2,-7.5,0.0,0.0
6w4hpdbqt_ZINC000002032615conf1,-8.0,0.0,0.0
6w4hpdbqt_ZINC000002032615conf2,-8.0,0.0,0.0
6w4hpdbqt_ZINC000002032615conf3,-8.1,0.0,0.0
6w4hpdbqt_ZINC000002032615conf4,-7.7,0.0,0.0
6w4hpdbqt_ZINC000002032615conf5,-8.0,0.0,0.0
6w4hpdbqt_ZINC000002032615conf6,-7.1,0.0,0.0
6w4hpdbqt_ZINC000002522669conf1,-7.9,0.0,0.0
6w4hpdbqt_ZINC000002522669conf2,-8.0,0.0,0.0
6w4hpdbqt_ZINC000002522669conf3,-7.8,0.0,0.0
6w4hpdbqt_ZINC000002522669conf4,-7.5,0.0,0.0
6w4hpdbqt_ZINC000002522669conf5,-7.6,0.0,0.0
6w4hpdbqt_ZINC000003800475conf1,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003800475conf10,-6.8,0.0,0.0
6w4hpdbqt_ZINC000003800475conf11,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003800475conf12,-7.1,0.0,0.0
6w4hpdbqt_ZINC000003800475conf13,-7.3,0.0,0.0
6w4hpdbqt_ZINC000003800475conf2,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003800475conf3,-7.9,0.0,0.0
6w4hpdbqt_ZINC000003800475conf4,-7.7,0.0,0.0
6w4hpdbqt_ZINC000003800475conf5,-6.9,0.0,0.0
6w4hpdbqt_ZINC000003800475conf6,-8.4,0.0,0.0
6w4hpdbqt_ZINC000003800475conf7,-8.2,0.0,0.0
6w4hpdbqt_ZINC000003800475conf8,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003800475conf9,-7.4,0.0,0.0
6w4hpdbqt_ZINC000003814395conf1,-9.2,0.0,0.0
6w4hpdbqt_ZINC000003816514conf1,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003816514conf10,-8.9,0.0,0.0
6w4hpdbqt_ZINC000003816514conf2,-9.1,0.0,0.0
6w4hpdbqt_ZINC000003816514conf3,-9.0,0.0,0.0
6w4hpdbqt_ZINC000003816514conf4,-9.1,0.0,0.0
6w4hpdbqt_ZINC000003816514conf5,-9.1,0.0,0.0
